product,brand,category,price,quantity,purchased_at
Tech Hera,Nike,shoes,110,49,2019-05-14T08:12:34+02:00
Air Force 1 Low,Nike,shoes,135,56,2021-11-08T12:23:04+01:00
J'adore L'Or,Dior,fragrances,120.4,70,2020-11-14T21:10:55+01:00
Galaxy S23 Ultra,Samsung,smartphones,999,75,2022-06-21T11:07:34+02:00
Galaxy S23 Ultra,Samsung,smartphones,999,65,2021-10-12T04:11:06+02:00
"MacBook Pro 16', 18 Go RAM, 512 Go SSD",Apple,computers,2999,62,2023-03-23T20:43:35+01:00
Tech Hera,Nike,shoes,110,99,2022-07-20T18:33:20+02:00
Pulse 15 B13VGK-463FR,MSI,computers,1299,13,2022-03-03T20:21:19+01:00
Pixel 8,Google,smartphones,729,88,2023-06-21T02:43:24+02:00
Pulse 15 B13VGK-463FR,MSI,computers,1299,73,2021-06-28T10:35:21+02:00
Tech Hera,Nike,shoes,110,42,2020-03-10T03:46:30+01:00
"MacBook Pro 16', 18 Go RAM, 512 Go SSD",Apple,computers,2999,23,2022-05-05T11:41:32+02:00
J'adore L'Or,Dior,fragrances,120.4,89,2023-10-18T16:42:28+02:00
Victus Laptop 16-s0040nf,HP,computers,1799,58,2019-10-11T12:20:16+02:00
Irresistible Givenchy,Givenchy,fragrances,76.3,64,2022-02-26T23:58:48+01:00
Victus Laptop 16-s0040nf,HP,computers,1799,82,2022-09-05T03:27:56+02:00
"MacBook Pro 16', 18 Go RAM, 512 Go SSD",Apple,computers,2999,71,2021-02-28T23:37:24+01:00
J'adore L'Or,Dior,fragrances,120.4,3,2019-07-04T23:39:28+02:00
Tech Hera,Nike,shoes,110,41,2022-02-20T10:44:50+01:00
Classic Ultra Mini,UGG,shoes,175,4,2020-07-11T16:50:19+02:00
Pixel 8,Google,smartphones,729,70,2023-09-17T05:42:49+02:00
Irresistible Givenchy,Givenchy,fragrances,76.3,31,2019-02-28T12:49:12+01:00
OnePlus 11,OnePlus,smartphones,579,82,2020-03-17T10:35:23+01:00
Air Force 1 Low,Nike,shoes,135,23,2021-05-20T14:29:35+02:00
Pixel 8,Google,smartphones,729,65,2021-08-12T03:12:33+02:00
Galaxy S23 Ultra,Samsung,smartphones,999,33,2019-05-18T13:32:15+02:00
J'adore L'Or,Dior,fragrances,120.4,75,2022-08-07T00:29:59+02:00
Tech Hera,Nike,shoes,110,54,2019-12-07T13:10:43+01:00
Pixel 8,Google,smartphones,729,48,2021-11-17T15:26:03+01:00
Galaxy S23 Ultra,Samsung,smartphones,999,29,2021-06-02T15:25:26+02:00
Pulse 15 B13VGK-463FR,MSI,computers,1299,6,2022-03-17T05:09:40+01:00
Air Force 1 Low,Nike,shoes,135,34,2021-11-12T02:01:26+01:00
Galaxy S23 Ultra,Samsung,smartphones,999,45,2019-03-15T20:29:23+01:00
L'Homme,Yves Saint Laurent,fragrances,80.5,3,2019-12-07T13:43:35+01:00
Pulse 15 B13VGK-463FR,MSI,computers,1299,62,2020-09-15T06:27:12+02:00
Pixel 8,Google,smartphones,729,16,2019-08-12T06:35:30+02:00
"MacBook Pro 16', 18 Go RAM, 512 Go SSD",Apple,computers,2999,84,2023-06-09T04:46:53+02:00
J'adore L'Or,Dior,fragrances,120.4,63,2020-03-18T15:56:03+01:00
"MacBook Pro 16', 18 Go RAM, 512 Go SSD",Apple,computers,2999,27,2021-09-22T04:27:28+02:00
Pulse 15 B13VGK-463FR,MSI,computers,1299,70,2023-03-06T09:04:00+01:00
J'adore L'Or,Dior,fragrances,120.4,16,2019-08-27T16:23:38+02:00
Air Force 1 Low,Nike,shoes,135,11,2023-04-01T20:16:25+02:00
