id,amount,currency,merchant_name,issued_at,sender_account_id,recipient_account_id,credit_card_id
1,5927.87,EUR,Robert et Marie,2001-07-15T08:50:10+02:00,415,281,351
2,4645.14,QAR,Jacquet EURL,2021-10-17T01:48:25+02:00,901,815,901
3,2995.27,EUR,Arnaud SCOP,2012-05-21T02:33:38+02:00,697,72,697
4,6327.6,EUR,Dumas et Roy,2015-11-05T18:09:33+01:00,155,935,155
5,8783.69,EUR,Robin et Meyer,2023-06-27T19:36:57+02:00,154,203,154
6,9469.94,EUR,Richard et Julien,2006-01-05T06:36:07+01:00,768,100,768
7,4662.44,EUR,Huet et Guillaume,2006-02-24T05:53:45+01:00,901,124,901
8,4911.85,EUR,Simon et Renard,2009-01-04T09:50:17+01:00,121,417,121
9,6417.12,EUR,Martinez SCOP,2000-10-06T13:30:32+02:00,384,842,384
10,4144.18,EUR,Schmitt et Garcia,2023-06-05T05:49:54+02:00,858,138,858
11,6683.93,EUR,Guillot et Vincent,2016-07-14T17:31:03+02:00,777,930,777
12,600826.99,EUR,Meunier et Riviere,2019-01-19T13:24:10+01:00,403,880,403
13,3322.68,EUR,Blanc SCOP,2009-02-18T06:38:22+01:00,234,181,234
14,2455.24,EUR,Dufour et Olivier,2003-11-30T23:11:31+01:00,144,887,858
15,8978.08,EUR,Marty et Aubry,2007-02-06T14:54:34+01:00,1,788,1
16,9758.51,EUR,Gauthier et Charles,2008-08-12T00:57:52+02:00,628,919,628
17,3297.8,EUR,Dupuy et Morel,2021-11-06T08:59:48+01:00,217,238,217
18,5603.5,EUR,Louis EURL,2006-06-23T06:05:33+02:00,3,90,3
19,7904.84,EUR,Caron GIE,2012-08-13T20:15:04+02:00,627,180,627
20,834.77,EUR,Rolland GIE,2013-09-01T12:51:41+02:00,529,104,529
21,4588.98,EUR,Pierre et Garnier,2010-09-16T20:49:20+02:00,506,981,506
22,3885.4,EUR,Dupuis EI,2011-02-17T01:28:30+01:00,954,481,954
23,2660.04,EUR,Perrot et Renault,2005-04-16T13:24:10+02:00,210,350,210
24,8993.4,EUR,Nguyen SCOP,2012-11-15T19:13:26+01:00,391,891,391
25,8230.61,EUR,Roux et Faure,2020-04-23T12:24:08+02:00,500,392,500
26,7618.74,EUR,Mercier SEM,1999-10-24T23:09:25+02:00,204,551,204
27,7055.57,EUR,Paris et Gerard,2003-11-16T17:22:50+01:00,510,792,510
28,2455.55,EUR,Olivier et Remy,2008-12-01T03:01:18+01:00,438,16,438
29,2455.88,EUR,Fontaine et Pons,2020-09-26T12:57:02+02:00,378,493,378
30,6693.04,EUR,Richard SCOP,2021-08-21T06:43:12+02:00,115,897,115
31,1317.69,EUR,Dubois SEM,2020-09-19T12:48:38+02:00,119,128,119
32,5473.51,DKK,Faure et Gauthier,1999-06-11T09:42:40+02:00,783,676,783
33,976.96,EUR,Roussel et Fernandez,2021-01-13T02:47:15+01:00,200,20,200
34,6215.46,EUR,Garnier SCOP,2014-06-13T05:00:02+02:00,487,940,487
35,6060.49,EUR,Henry et Brunet,2006-12-13T06:15:56+01:00,323,91,323
36,8686.71,EUR,Moreau et Fabre,2011-10-05T06:16:31+02:00,508,188,508
37,2681.75,EUR,Dumas SARL,2018-04-05T12:42:12+02:00,804,860,804
38,5115.63,EUR,Mathieu et Da silva,2023-08-25T04:46:44+02:00,756,689,756
39,4530.51,EUR,Le roux SA,2016-04-10T08:27:48+02:00,826,260,826
40,7426.53,EUR,Bernard et Noel,2012-01-23T01:45:30+01:00,270,555,270
41,170166.09,EUR,Roy et Le roux,2012-03-13T19:01:59+01:00,375,835,375
42,944199.7,EUR,Robin et Joly,2010-05-24T02:48:51+02:00,942,360,942
43,2693.21,EUR,Dupont SA,2001-11-10T03:18:19+01:00,108,449,108
44,9771.7,EUR,Leroy SAS,2010-05-16T22:18:51+02:00,807,110,807
45,7258.28,EUR,Jacquet EI,2012-02-19T15:07:57+01:00,883,103,883
46,289750.66,EUR,Gaillard GIE,2018-10-09T14:21:40+02:00,891,592,891
47,817622.02,EUR,Dufour SCOP,2023-07-01T17:32:37+02:00,190,453,190
48,7184.85,EUR,Perrot SAS,2005-02-26T10:28:34+01:00,961,606,961
49,9041.26,EUR,Guillot EI,2021-09-14T18:43:37+02:00,901,100,901
50,6007.88,EUR,Joly et Rolland,2023-04-11T02:26:22+02:00,514,502,514
51,9967.05,EUR,Fleury et Francois,2018-02-01T17:36:01+01:00,829,446,829
52,7408.59,EUR,Leclercq et Masson,2018-11-05T12:57:56+01:00,348,202,348
53,2205.93,EUR,Guyot SARL,2013-09-11T08:56:54+02:00,254,406,254
54,5390.12,EUR,Muller et Lopez,2023-11-14T11:50:18+01:00,224,603,224
55,2922.41,EUR,Gonzalez SARL,2021-12-30T22:59:28+01:00,8,38,8
56,5593.8,EUR,Leclercq SARL,2009-02-06T17:37:12+01:00,856,105,856
57,5732.41,EUR,Collet GIE,2017-08-29T10:05:52+02:00,122,306,122
58,2699.66,EUR,Fontaine SARL,2020-02-06T14:38:31+01:00,497,478,497
59,7882.86,EUR,Fournier et Bonnet,2003-02-14T22:19:45+01:00,406,982,406
60,2310.78,EUR,Picard SCOP,2006-06-23T08:04:58+02:00,600,918,600
61,9710.82,EUR,Marchand EURL,2022-08-17T23:00:48+02:00,657,662,657
62,818995.14,EUR,Marchand et Vincent,2007-01-10T03:46:38+01:00,309,681,309
63,1302.05,EUR,Menard et Da silva,2014-01-11T01:39:34+01:00,647,41,647
64,1326.55,EUR,Moreau SAS,2005-10-18T13:45:39+02:00,650,480,650
65,8274.76,EUR,Aubry et Pons,2003-12-14T06:44:29+01:00,159,345,159
66,1567.33,EUR,Jean et Schneider,2004-10-07T03:07:01+02:00,905,599,905
67,298.67,EUR,Martin SAS,2008-01-19T09:15:44+01:00,877,676,877
68,7436.01,EUR,Aubert SCOP,2015-02-03T21:50:58+01:00,217,221,217
69,61692.96,EUR,Carpentier et Aubert,2022-06-01T18:45:03+02:00,391,262,391
70,6804.13,AED,Carpentier et Pierre,2001-11-21T04:28:41+01:00,446,84,446
71,2952.05,EUR,Robin EURL,2005-06-08T23:05:22+02:00,63,35,63
72,366.18,EUR,Pons et Mathieu,2000-06-05T16:15:52+02:00,820,29,820
73,5341.27,EUR,Legrand et Rey,2006-09-08T00:08:22+02:00,777,728,777
