name,platform,year,genre,publisher,NA_sales,EU_sales,JP_sales,other_sales
Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,440000,10000,250000,40000
Let's Yoga!,DS,2007,Misc,Konami Digital Entertainment,0,0,20000,0
Karaoke Revolution Presents American Idol Encore,X360,2008,Misc,Konami Digital Entertainment,100000,0,0,10000
Gundam Breaker 2,PSV,2014,Action,Namco Bandai Games,0,0,150000,0
Skylanders SWAP Force,Wii,2013,Platform,Activision,1320000,830000,0,200000
Despicable Me: The Game,PSP,2010,Platform,D3Publisher,50000,80000,0,40000
NHL 98,PS,1997,Sports,Electronic Arts,510000,350000,0,60000
Disgaea 3: Absence of Justice,PS3,2008,Role-Playing,Square Enix,320000,40000,110000,40000
Super Fire ProWrestling X,SNES,1995,Fighting,Human Entertainment,0,0,280000,0
NBA 2K13,Wii,2012,Sports,Take-Two Interactive,390000,30000,0,30000
Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,810000,0,10000,70000
Suzumiya Haruhi no Tsuisou,PSP,2011,Adventure,Namco Bandai Games,0,0,40000,0
Goblin Commander: Unleash the Horde,XB,2003,Strategy,Jaleco,60000,20000,0,0
Spyro: Enter the Dragonfly,PS2,2002,Platform,Universal Interactive,740000,950000,0,280000
Goemon's Great Adventure,N64,1998,Platform,Konami Digital Entertainment,60000,20000,130000,100000
FIFA 15,X360,2014,Sports,Electronic Arts,780000,2020000,0,300000
Kung Fu,NES,1985,Action,Nintendo,1640000,380000,1420000,60000
LEGO Star Wars II: The Original Trilogy,PC,2006,Action,Activision,0,10000,0,0
IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,640000,500000,0,170000
Goat Simulator,XOne,2016,Simulation,Koch Media,0,10000,0,0
DuckTales: Remastered,X360,2013,Action,Capcom,30000,0,0,0
Bratz: Forever Diamondz,PS2,2006,Adventure,THQ,10000,10000,0,0
Lost Magic,DS,2006,Role-Playing,Ubisoft,90000,0,20000,10000
LEGO Star Wars: The Video Game,XB,2005,Action,Eidos Interactive,830000,280000,0,50000
Total War: Shogun 2,PC,2011,Strategy,Sega,190000,310000,0,90000
Cabela's Big Game Hunter 2010,Wii,2009,Sports,Activision Value,1580000,0,0,120000
Disney's Peter Pan: Return to Never Land,GBA,2002,Platform,Ubisoft,80000,30000,0,0
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,DS,2011,Action,THQ,70000,30000,0,10000
NBA 2K3,GC,2002,Sports,Sega,120000,30000,0,0
New Super Mario Bros.,DS,2006,Platform,Nintendo,11380000,9230000,6500000,2900000
Line Rider 2: Unbound,DS,2008,Puzzle,Deep Silver,70000,0,0,10000
Carol Vorderman's Sudoku,PS2,2006,Puzzle,Xplosiv,0,230000,0,50000
Bushido Blade,PS,1997,Fighting,Sony Computer Entertainment,390000,270000,430000,80000
College Slam,PS,1995,Sports,Acclaim Entertainment,100000,70000,0,10000
Shark Tale,GBA,2004,Action,Activision,490000,180000,0,10000
Ducati Moto,DS,2008,Racing,Vir2L Studios,20000,0,0,0
All-Star Baseball 2003,GC,2002,Sports,Acclaim Entertainment,120000,30000,0,0
Saru! Get You! SaruSaru Daisakusen,PSP,2007,Platform,Sony Computer Entertainment,0,0,30000,0
Pride FC: Fighting Championships,PS2,2003,Fighting,THQ,150000,110000,0,40000
The Black Eyed Peas Experience,Wii,2011,Misc,Ubisoft,390000,200000,0,60000
Deadly Premonition,X360,2010,Action,Rising Star Games,180000,60000,0,20000
Texas Hold 'Em Poker DS,DS,2005,Misc,Majesco Entertainment,30000,0,0,0
Who Wants to be a Millionaire: 1st Edition,Wii,2007,Misc,Ubisoft,0,30000,0,0
Tiger Woods PGA Tour 11,Wii,2010,Sports,Electronic Arts,240000,260000,0,60000
Story Hour: Fairy Tales,Wii,2008,Adventure,Zoo Digital Publishing,40000,0,0,0
Call of Duty: Modern Warfare Trilogy,PS3,2016,Shooter,Activision,0,10000,0,0
The Fast and the Furious,PS2,2006,Racing,Namco Bandai Games,30000,20000,0,10000
Digimon World: Next Order,PSV,2016,Action,Namco Bandai Games,0,0,90000,0
Eiken DS,DS,2007,Misc,Rocket Company,0,0,70000,0
Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,580000,440000,440000,120000
FIFA 12,Wii,2011,Sports,Electronic Arts,160000,520000,0,110000
Colin McRae Rally 2.0,GBA,2002,Racing,Codemasters,20000,10000,0,0
Jade Cocoon 2,PS2,2001,Role-Playing,Ubisoft,50000,40000,0,10000
The Orange Box,PS3,2007,Shooter,Electronic Arts,280000,590000,0,220000
Stunt GP,PS2,2001,Racing,Titus,20000,20000,0,10000
Syphon Filter: Logan's Shadow,PSP,2007,Shooter,Sony Computer Entertainment,250000,120000,0,90000
Minecraft: Story Mode,XOne,2015,Adventure,Mojang,290000,210000,0,50000
Ninja Gaiden Sigma,PSV,2012,Action,Tecmo Koei,130000,60000,40000,40000
Crash: Mind Over Mutant,X360,2008,Platform,Vivendi Games,220000,210000,0,50000
